Date,Open,High,Low,Close
07/09/2015,27681.49,27798.13,27540.6,27573.66
07/10/2015,27705.36,27729.46,27530.9,27661.4
07/13/2015,27739.32,28005.17,27635.06,27961.19
07/14/2015,27986.92,28018.59,27853.96,27932.9
07/15/2015,28022.14,28218.37,27986.48,28198.29
07/16/2015,28259.7,28478.43,28245.81,28446.12
07/17/2015,28480.92,28576.32,28417.46,28463.31
07/20/2015,28544.28,28549.13,28319.83,28420.12
07/21/2015,28381.82,28518.06,28138.3,28182.14
07/22/2015,28159.42,28546.42,28070.91,28504.93
07/23/2015,28540.97,28578.33,28315.37,28370.84
07/24/2015,28390.5,28402.64,28083.76,28112.31
07/27/2015,28117.65,28117.65,27529.57,27561.38
07/28/2015,27630.21,27676.65,27416.39,27459.23
07/29/2015,27540.46,27609.29,27470.09,27563.43
07/30/2015,27685.82,27854.46,27649.97,27705.35
07/31/2015,27814.51,28161.17,27814.51,28114.56
08/03/2015,28089.09,28263.35,28071.37,28187.06
08/04/2015,28225.04,28264.72,27866.12,28071.93
08/05/2015,28138.04,28315.71,28135.68,28223.08
08/06/2015,28291.88,28359.96,28163.69,28298.13
08/07/2015,28327.11,28335.67,28193.93,28236.39
08/10/2015,28250.78,28417.59,28017.85,28101.72
08/11/2015,28193.26,28205.12,27825.83,27866.09
08/12/2015,27880.76,27883.33,27479.43,27512.26
08/13/2015,27635.25,27791.1,27496.29,27549.53
08/14/2015,27668.06,28100.64,27643.2,28067.31
08/17/2015,28093.54,28095.97,27739.13,27878.27
08/18/2015,27949.13,28040.73,27747.4,27831.54
08/19/2015,27851.81,28021.39,27721.25,27931.64
08/20/2015,27959.19,27964.6,27564.16,27607.82
08/21/2015,27440.1,27442.82,27131.44,27366.07
08/24/2015,26730.4,26730.4,25624.72,25741.56
08/25/2015,25916.26,26124.83,25298.42,26032.38
08/26/2015,26063.27,26156.61,25657.56,25714.66
08/27/2015,26137.03,26302.77,25943.75,26231.19
08/28/2015,26542.84,26687.33,26270.17,26392.38
08/31/2015,26469.42,26504.73,26215.16,26283.09
09/01/2015,26127.04,26141.07,25579.88,25696.44
09/02/2015,25891.95,25939.37,25395.09,25453.56
09/03/2015,25614.69,25835.41,25555.77,25764.78
09/04/2015,25772.58,25775.38,25119.06,25201.9
09/07/2015,25302.98,25387.32,24851.77,24893.81
09/08/2015,24972.01,25411,24833.54,25317.87
09/09/2015,25682.87,25820.56,25553.61,25719.58
09/10/2015,25522.96,25733.7,25287.5,25622.17
09/11/2015,25793.77,25875.96,25530.41,25610.21
09/14/2015,25706.87,25891.73,25531.07,25856.7
09/15/2015,25908.34,25909.83,25649.37,25705.93
09/16/2015,25884.05,26006.75,25816.5,25963.97
09/18/2015,26130.36,26471.82,26130.36,26218.91
09/21/2015,26107.98,26233.46,25972.54,26192.98
09/22/2015,26274.37,26339.1,25571.34,25651.84
09/23/2015,25526.53,25934.02,25386.48,25822.99
09/24/2015,25798.05,25949.9,25670.96,25863.5
09/28/2015,25922.71,25936.89,25593.56,25616.84
09/29/2015,25496.38,26054.37,25287.33,25778.66
09/30/2015,25986.52,26179.7,25918.21,26154.83
10/01/2015,26344.19,26431.8,26168.71,26220.95
10/05/2015,26379.42,26822.42,26375.31,26785.55
10/06/2015,26976.66,27010.27,26751.25,26932.88
10/07/2015,26966.86,27082.28,26877.51,27035.85
10/08/2015,27116.86,27120.11,26762.36,26845.81
10/09/2015,26974.92,27200.44,26910.59,27079.51
10/12/2015,27242.6,27305.04,26855.75,26904.11
10/13/2015,26874.29,26918.52,26719.1,26846.53
10/14/2015,26760.32,26869.08,26713.28,26779.66
10/15/2015,26842.19,27037.95,26836.77,27010.14
10/16/2015,27062.8,27239.22,26917.12,27214.6
10/19/2015,27305.62,27387.91,27246.79,27364.92
10/20/2015,27402.9,27432.07,27216.4,27306.83
10/21/2015,27312.35,27445.24,27190.55,27287.66
10/23/2015,27466.64,27555.06,27421.71,27470.81
10/26/2015,27575.04,27618.14,27318.2,27361.96
10/27/2015,27291.06,27296.3,27209.52,27253.44
10/28/2015,27131.71,27163.98,26919.96,27039.76
10/29/2015,27083.7,27099.11,26794.1,26838.14
10/30/2015,26878.48,26942.29,26585.2,26656.83
11/02/2015,26641.69,26824.3,26378.26,26559.15
11/03/2015,26660.71,26732.24,26514.48,26590.59
11/04/2015,26704.02,26800.06,26510.31,26552.92
11/05/2015,26557.8,26557.8,26243.2,26304.2
11/06/2015,26284.01,26438.86,26190.18,26265.24
11/09/2015,25809,26193.17,25656.9,26121.4
11/10/2015,26094.09,26094.09,25709.23,25743.26
11/11/2015,25934.9,25944.93,25853.42,25866.95
11/13/2015,25724.09,25724.09,25540.73,25610.53
11/16/2015,25580.15,25866.42,25451.42,25760.1
11/17/2015,25897.88,25948.2,25732.79,25864.47
11/18/2015,25837.71,25890.36,25453.32,25482.52
11/19/2015,25640.34,25884.52,25603.1,25841.92
11/20/2015,25856.13,26058.76,25769.81,25868.49
11/23/2015,25945.14,25958.04,25747.01,25819.34
11/24/2015,25785.61,25901.56,25703.86,25775.74
11/26/2015,25769.81,26016.04,25769.81,25958.63
11/27/2015,26003.2,26184.65,25937.32,26128.2
11/30/2015,26142.53,26231.06,26089.13,26145.67
12/01/2015,26201.27,26246.02,26121.52,26169.41
12/02/2015,26239.39,26256.42,26041.68,26117.85
12/03/2015,26123.86,26123.86,25857.35,25886.62
12/04/2015,25810.06,25810.06,25623.71,25638.11
12/07/2015,25746.03,25785.53,25477.69,25530.11
12/08/2015,25488.42,25542.47,25256.79,25310.33
12/09/2015,25299.34,25316.95,25012.22,25036.05
12/10/2015,25136.71,25289.58,25034.14,25252.32
12/11/2015,25281.77,25316.14,24930.43,25044.43
12/14/2015,24935.6,25194.15,24867.73,25150.35
12/15/2015,25186.68,25342.78,25075.54,25320.44
12/16/2015,25402.47,25572.9,25372.47,25494.37
12/17/2015,25596.63,25831.31,25448.32,25803.78
12/18/2015,25764.67,25789.51,25481.51,25519.22
12/21/2015,25425.32,25757.84,25413.54,25735.9
12/22/2015,25731.07,25787.21,25485.17,25590.65
12/23/2015,25697.66,25875.27,25689.7,25850.3
12/24/2015,25893.84,25922.47,25763.4,25838.71
12/28/2015,25858.52,26073.41,25856.86,26034.13
12/29/2015,26075.68,26133.78,25994.45,26079.48
12/30/2015,26123.87,26130.2,25939.25,25960.03
12/31/2015,25980.86,26147.63,25941.91,26117.54
01/01/2016,26101.5,26197.27,26008.2,26160.9
01/04/2016,26116.52,26116.52,25596.57,25623.35
01/05/2016,25744.7,25766.76,25513.75,25580.34
01/06/2016,25628.23,25632.57,25357.7,25406.33
01/07/2016,25224.7,25230.35,24825.7,24851.83
01/08/2016,24969.02,25083.55,24887.22,24934.33
01/11/2016,24787.11,24961.88,24598.9,24825.04
01/12/2016,24862.93,24882.3,24597.11,24682.03
01/13/2016,24804.64,24956.54,24387.69,24854.11
01/14/2016,24606.2,25018.46,24473.22,24772.97
01/15/2016,24881.76,24912.64,24421.53,24455.04
01/18/2016,24400.78,24524.85,24141.99,24188.37
01/19/2016,24257.28,24563.34,24247.23,24479.84
01/20/2016,24325.77,24325.77,23839.76,24062.04
01/21/2016,24194.75,24351.83,23862,23962.21
01/22/2016,24122.06,24472.88,24120.04,24435.66
01/25/2016,24540.97,24650.57,24433.67,24485.95
01/27/2016,24643.13,24645.7,24458.13,24492.39
01/28/2016,24481.86,24587.2,24400.52,24469.57
01/29/2016,24347.31,24911.9,24340.06,24870.69
02/01/2016,24982.22,25002.32,24788.58,24824.83
02/02/2016,24868.21,24928.75,24460.53,24539
02/03/2016,24393.59,24409.26,24187.54,24223.32
02/04/2016,24386.45,24514.01,24224.74,24338.43
02/05/2016,24360.36,24672.9,24345.79,24616.97
02/08/2016,24637.41,24698.95,24196.84,24287.42
02/09/2016,24076.85,24111.19,23919.47,24020.98
02/10/2016,23938.32,23938.32,23636.72,23758.9
02/11/2016,23758.46,23758.46,22909.12,22951.83
02/12/2016,23060.39,23161.15,22600.39,22986.12
02/15/2016,23223.43,23622.64,23197.67,23554.12
02/16/2016,23688.61,23692.08,23164.54,23191.97
02/17/2016,23237.23,23434.91,22920.84,23381.87
02/18/2016,23536.47,23735.35,23448.21,23649.22
